Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,RelevantEducationLevel,JobLevel,JobRole,MaritalStatus,NumCompaniesWorked,OverTime,InterviewScore,ResumeScore,RequestedBenefits,TotalWorkingYears,PreferredSkills,YearsAtCurrentCompany,RelevantExperience,JobType,SalaryExpectation,Ethnicity,Gender,HIRED
28,Non-Travel,Sales,2,College,Life Sciences,High,Intermediate,Sales Executive,Married,1,No,High,Low,Yes,4,High,4,3,full_time,Average,non-minority,Male,YES
48,Travel_Rarely,Research & Development,2,College,Technical Degree,Very High,Entry Level,Laboratory Technician,Single,5,No,Low,High,No,7,High,1,0,full_time,High,minority,Female,NO
31,Travel_Frequently,Research & Development,29,College,Medical,Medium,Entry Level,Laboratory Technician,Single,0,No,Low,Average,No,6,Medium,5,4,full_time,High,minority,Female,NO
45,Travel_Rarely,Sales,5,Bachelor,Marketing,Low,Experienced,Sales Executive,Divorced,2,Yes,Low,High,Yes,2,Medium,5,0,full_time,Average,minority,Male,NO
44,Travel_Frequently,Human Resources,1,Doctorate,Human Resources,High,Intermediate,Human Resources,Married,4,Yes,Outstanding,High,No,14,High,10,7,full_time,Low,non-minority,Male,YES
45,Travel_Rarely,Research & Development,15,Master,Other,Medium,Entry Level,Research Scientist,Married,4,No,Low,Outstanding,Yes,10,High,8,4,full_time,Average,minority,Female,NO
28,Travel_Rarely,Sales,20,College,Marketing,High,Intermediate,Sales Executive,Single,0,Yes,Low,Low,No,3,High,0,1,full_time,Low,minority,Female,NO
45,Travel_Frequently,Sales,2,Bachelor,Marketing,Medium,Experienced,Sales Executive,Married,4,No,Low,Average,No,10,High,4,4,full_time,Low,non-minority,Male,NO
41,Travel_Rarely,Human Resources,1,Bachelor,Human Resources,Medium,Experienced,Manager,Married,1,No,High,Average,Yes,22,High,22,7,full_time,Average,non-minority,Male,YES
38,Travel_Rarely,Research & Development,6,College,Other,Medium,Entry Level,Laboratory Technician,Married,1,No,High,Average,Yes,5,High,5,4,full_time,Low,minority,Female,NO
26,Travel_Rarely,Research & Development,3,Bachelor,Life Sciences,High,Entry Level,Research Scientist,Married,1,No,Low,Low,No,1,Medium,1,0,full_time,High,minority,Female,NO
30,Travel_Rarely,Research & Development,20,Bachelor,Other,Medium,Intermediate,Manufacturing Director,Married,4,No,Low,High,Yes,5,Medium,6,2,contract,Average,minority,Male,NO
49,Travel_Rarely,Research & Development,8,College,Other,High,Experienced,Laboratory Technician,Married,4,No,Low,High,Yes,29,High,0.6,9,full_time,Low,non-minority,Female,NO
38,Travel_Rarely,Research & Development,4,College,Medical,High,Entry Level,Laboratory Technician,Married,7,No,Low,Outstanding,Yes,7,Medium,0,0,contract,High,minority,Female,NO
29,Travel_Frequently,Research & Development,4,Bachelor,Life Sciences,High,Intermediate,Manufacturing Director,Divorced,1,No,Low,Average,Yes,6,Medium,4,3,full_time,High,non-minority,Female,NO
28,Travel_Rarely,Sales,13,College,Marketing,High,Intermediate,Sales Executive,Single,3,Yes,Low,Outstanding,No,6,Low,0,0,full_time,Low,minority,Female,NO
34,Travel_Rarely,Sales,15,College,Life Sciences,Medium,Intermediate,Sales Executive,Married,1,Yes,Low,Outstanding,No,9,Medium,9,7,contract,Average,non-minority,Male,YES
29,Travel_Rarely,Research & Development,6,Bachelor,Life Sciences,Medium,Entry Level,Laboratory Technician,Married,3,No,Average,Low,Yes,9,Medium,6,6,full_time,Average,non-minority,Female,YES
49,Non-Travel,Research & Development,18,Master,Life Sciences,High,Intermediate,Manufacturing Director,Divorced,1,Yes,Outstanding,Low,No,7,Low,7,7,contract,Average,non-minority,Male,NO
37,Travel_Rarely,Research & Development,1,Master,Life Sciences,Medium,Intermediate,Manufacturing Director,Divorced,1,No,Low,High,Yes,7,Medium,7,5,full_time,High,minority,Female,NO
30,Travel_Rarely,Sales,1,Bachelor,Life Sciences,Medium,Intermediate,Sales Executive,Married,1,No,Low,Outstanding,Yes,10,High,10,8,full_time,Low,minority,Male,NO
31,Travel_Rarely,Research & Development,8,Bachelor,Life Sciences,Medium,Entry Level,Research Scientist,Single,4,No,Low,High,Yes,5,Medium,1,2,full_time,High,minority,Female,NO
44,Travel_Rarely,Research & Development,20,Bachelor,Life Sciences,High,Entry Level,Research Scientist,Single,1,No,Average,High,No,6,High,5,2,full_time,Average,non-minority,Male,YES
36,Travel_Rarely,Research & Development,4,College,Life Sciences,Medium,Intermediate,Laboratory Technician,Single,6,No,Average,High,No,16,Medium,13,11,contract,Average,non-minority,Male,YES
28,Travel_Rarely,Research & Development,1,Bachelor,Medical,High,Entry Level,Research Scientist,Married,1,No,Low,High,Yes,3,High,3,2,full_time,High,minority,Female,NO
34,Travel_Frequently,Research & Development,15,Bachelor,Medical,Medium,Experienced,Research Director,Divorced,4,No,Low,Outstanding,Yes,5,Medium,14,2,full_time,High,non-minority,Female,NO
33,Travel_Frequently,Research & Development,6,Bachelor,Life Sciences,High,Intermediate,Healthcare Representative,Divorced,3,No,Outstanding,High,Yes,15,Medium,13,11,full_time,High,non-minority,Male,YES
30,Travel_Frequently,Sales,12,Master,Life Sciences,Medium,Entry Level,Sales Representative,Married,1,No,Low,High,Yes,1,Medium,1,0,full_time,High,non-minority,Male,YES
45,Non-Travel,Sales,11,Master,Other,Medium,Intermediate,Sales Executive,Married,4,No,Low,Outstanding,No,10,High,4,4,full_time,Average,minority,Male,NO
33,Travel_Frequently,Research & Development,15,Bachelor,Other,Medium,Entry Level,Laboratory Technician,Married,0,No,Outstanding,Average,No,6,High,5,2,full_time,Average,non-minority,Male,YES
45,Travel_Rarely,Sales,2,College,Technical Degree,Low,Intermediate,Sales Representative,Single,0,No,High,Low,No,9,High,8,7,full_time,Average,minority,Male,YES
45,Non-Travel,Research & Development,4,College,Life Sciences,High,Intermediate,Laboratory Technician,Married,1,No,Average,Average,No,9,Medium,9,7,full_time,Average,minority,Male,YES
39,Travel_Rarely,Research & Development,4,Bachelor,Medical,High,Entry Level,Laboratory Technician,Single,3,Yes,Low,High,No,18,Medium,16,12,full_time,Average,non-minority,Male,YES
26,Non-Travel,Research & Development,7,Bachelor,Medical,High,Entry Level,Laboratory Technician,Single,1,No,Outstanding,High,No,7,Medium,7,7,full_time,High,non-minority,Male,YES
36,Travel_Frequently,Sales,11,College,Technical Degree,Medium,Experienced,Sales Executive,Married,1,No,Outstanding,Average,Yes,10,Medium,9,2,full_time,Average,non-minority,Female,NO
24,Travel_Rarely,Sales,20,Master,Marketing,High,Intermediate,Sales Executive,Divorced,0,Yes,Low,Low,Yes,3,High,5,1,full_time,Average,minority,Female,NO
46,Travel_Rarely,Research & Development,15,College,Life Sciences,High,Experienced,Research Director,Married,5,No,Low,Low,Yes,25,Medium,4,2,full_time,Low,minority,Male,NO
39,Travel_Rarely,Research & Development,1,Below College,Life Sciences,Medium,Experienced,Manufacturing Director,Married,1,No,Low,High,Yes,21,High,0.6,6,full_time,High,minority,Female,NO
30,Non-Travel,Research & Development,2,Bachelor,Medical,High,Entry Level,Laboratory Technician,Single,0,No,Outstanding,High,No,12,Medium,11,7,contract,High,non-minority,Female,NO
22,Travel_Rarely,Research & Development,8,Below College,Life Sciences,Low,Entry Level,Laboratory Technician,Married,1,No,Low,Low,Yes,4,High,4,3,contract,Average,non-minority,Male,YES
37,Travel_Rarely,Sales,3,Bachelor,Life Sciences,High,Experienced,Sales Executive,Single,2,No,Outstanding,Low,No,12,High,5,3,full_time,Average,non-minority,Male,YES
35,Travel_Frequently,Sales,2,Below College,Life Sciences,Low,Intermediate,Sales Executive,Single,3,No,Outstanding,Average,Yes,12,Medium,5,1,full_time,High,minority,Male,YES
45,Travel_Rarely,Research & Development,1,Doctorate,Medical,Medium,Experienced,Research Director,Divorced,4,No,Average,High,Yes,10,High,6,4,full_time,High,non-minority,Female,NO
41,Non-Travel,Sales,10,College,Life Sciences,High,Intermediate,Sales Executive,Single,7,No,Outstanding,Outstanding,No,16,High,14,3,full_time,Average,non-minority,Male,YES
40,Non-Travel,Sales,24,Bachelor,Life Sciences,Very High,Experienced,Sales Executive,Single,4,Yes,Low,Outstanding,No,22,Medium,1,0,full_time,Average,minority,Female,NO
31,Non-Travel,Research & Development,3,Bachelor,Life Sciences,Medium,Intermediate,Healthcare Representative,Married,1,No,High,Low,No,12,High,11,10,contract,High,non-minority,Male,YES
55,Travel_Frequently,Research & Development,2,Below College,Life Sciences,Medium,Experienced,Manufacturing Director,Married,1,No,Low,Average,Yes,23,Medium,3,2,full_time,High,minority,Female,NO
29,Travel_Rarely,Research & Development,20,Bachelor,Life Sciences,High,Entry Level,Research Scientist,Married,0,No,Low,Low,Yes,3,High,5,1,contract,High,minority,Female,NO
44,Travel_Rarely,Research & Development,29,Master,Other,High,Intermediate,Research Scientist,Single,1,No,Outstanding,Average,No,20,High,20,11,contract,High,non-minority,Male,NO
28,Non-Travel,Research & Development,24,College,Technical Degree,Medium,Experienced,Healthcare Representative,Single,1,No,Low,Low,No,10,Medium,10,7,full_time,Average,minority,Male,YES
32,Travel_Rarely,Research & Development,25,Master,Life Sciences,High,Entry Level,Laboratory Technician,Single,1,Yes,Low,High,No,1,Medium,1,0,full_time,High,minority,Female,NO
36,Travel_Rarely,Research & Development,7,Master,Other,High,Entry Level,Research Scientist,Single,2,No,Outstanding,High,No,8,Medium,6,2,full_time,High,non-minority,Male,YES
55,Travel_Rarely,Sales,13,Master,Marketing,Very High,Experienced,Sales Executive,Single,6,Yes,High,High,No,24,Medium,19,7,full_time,High,minority,Male,YES
29,Travel_Rarely,Research & Development,9,Master,Medical,High,Entry Level,Laboratory Technician,Married,9,No,Low,High,Yes,9,Medium,0,3,full_time,High,minority,Female,NO
45,Travel_Rarely,Research & Development,5,Doctorate,Medical,Low,Intermediate,Laboratory Technician,Single,1,Yes,Low,Low,No,10,High,10,7,full_time,High,non-minority,Female,YES
34,Travel_Rarely,Sales,1,College,Medical,Medium,Intermediate,Sales Executive,Divorced,0,Yes,Average,Low,Yes,10,Medium,9,7,full_time,Average,non-minority,Male,YES
36,Travel_Rarely,Sales,20,Master,Marketing,High,Intermediate,Sales Executive,Single,0,Yes,Average,Low,No,3,High,5,1,full_time,High,minority,Female,NO
30,Travel_Rarely,Sales,2,Below College,Technical Degree,High,Entry Level,Sales Representative,Married,1,No,Average,Low,Yes,1,High,1,0,full_time,High,minority,Female,NO
35,Travel_Rarely,Sales,3,Bachelor,Life Sciences,High,Experienced,Sales Executive,Married,1,No,High,High,Yes,10,Medium,10,7,full_time,Average,minority,Male,YES
31,Non-Travel,Research & Development,20,College,Medical,Medium,Entry Level,Research Scientist,Single,0,Yes,Low,Low,No,3,High,3,1,full_time,High,minority,Female,NO
36,Travel_Rarely,Sales,14,Master,Technical Degree,Medium,Intermediate,Sales Executive,Married,3,Yes,Low,Low,Yes,10,High,5,4,full_time,Average,non-minority,Male,YES
40,Travel_Rarely,Research & Development,2,Master,Life Sciences,Medium,Entry Level,Research Scientist,Single,2,No,High,Outstanding,No,8,Medium,2,2,full_time,Average,non-minority,Male,YES
18,Travel_Rarely,Sales,10,Bachelor,Medical,Medium,Entry Level,Sales Representative,Single,1,No,Low,Low,No,0,Medium,0,0,contract,High,non-minority,Female,NO
39,Travel_Rarely,Research & Development,2,Master,Technical Degree,Medium,Intermediate,Healthcare Representative,Single,1,No,High,Low,No,20,High,20,7,full_time,High,minority,Female,YES
39,Travel_Rarely,Research & Development,4,Bachelor,Medical,High,Entry Level,Laboratory Technician,Single,3,Yes,Low,High,No,18,Medium,16,12,full_time,Average,non-minority,Male,YES
34,Travel_Rarely,Research & Development,29,Bachelor,Medical,High,Intermediate,Laboratory Technician,Married,4,No,High,Low,No,10,Low,8,7,full_time,Average,non-minority,Male,YES
26,Travel_Rarely,Research & Development,3,Master,Medical,Very High,Entry Level,Laboratory Technician,Married,1,No,Outstanding,Average,Yes,8,Medium,8,7,full_time,High,minority,Male,YES
40,Travel_Rarely,Research & Development,2,College,Life Sciences,High,Entry Level,Laboratory Technician,Married,4,No,Low,Outstanding,Yes,7,Medium,4,3,contract,High,minority,Female,NO
33,Travel_Rarely,Sales,10,Master,Marketing,High,Intermediate,Sales Executive,Single,1,No,High,Average,No,10,Medium,10,4,full_time,Average,minority,Male,YES
43,Travel_Rarely,Research & Development,8,Master,Other,High,Intermediate,Healthcare Representative,Divorced,4,Yes,High,Outstanding,No,8,High,5,2,contract,Average,non-minority,Female,NO
38,Travel_Rarely,Research & Development,25,College,Life Sciences,Medium,Experienced,Research Director,Married,3,No,Average,High,Yes,19,Medium,10,8,contract,High,minority,Female,NO
42,Travel_Rarely,Human Resources,5,Below College,Technical Degree,Low,Entry Level,Human Resources,Divorced,2,Yes,Low,High,Yes,2,Medium,3,0,full_time,Low,minority,Male,NO
40,Travel_Rarely,Sales,2,College,Marketing,High,Intermediate,Sales Executive,Divorced,7,No,Average,High,No,8,Medium,5,4,full_time,Average,non-minority,Female,YES
36,Travel_Rarely,Sales,3,Below College,Life Sciences,Medium,Experienced,Sales Executive,Married,1,Yes,Low,Low,Yes,16,Medium,16,7,full_time,High,non-minority,Female,NO
33,Travel_Frequently,Research & Development,1,College,Life Sciences,High,Experienced,Research Director,Single,1,Yes,Outstanding,High,No,15,Low,15,14,contract,Average,minority,Female,YES
47,Travel_Frequently,Sales,4,Below College,Medical,High,Intermediate,Sales Representative,Single,3,No,Low,Low,No,5,High,0,0,full_time,High,minority,Male,NO
35,Travel_Rarely,Research & Development,1,Bachelor,Medical,Medium,Intermediate,Laboratory Technician,Married,0,No,Outstanding,Average,Yes,10,Low,9,7,full_time,High,minority,Female,NO
27,Travel_Frequently,Research & Development,10,College,Life Sciences,High,Experienced,Manufacturing Director,Divorced,1,No,Low,High,No,9,High,9,7,full_time,High,minority,Female,NO
47,Travel_Frequently,Sales,3,Bachelor,Medical,High,Experienced,Sales Executive,Divorced,9,Yes,Low,Outstanding,No,28,Medium,0,2,full_time,Average,non-minority,Female,NO
46,Travel_Rarely,Research & Development,15,College,Life Sciences,High,Experienced,Research Director,Married,5,No,Average,Low,Yes,4,High,4,2,full_time,Low,non-minority,Female,NO
34,Travel_Frequently,Human Resources,11,Bachelor,Life Sciences,Medium,Intermediate,Human Resources,Married,4,No,Average,Outstanding,No,14,Medium,10,9,full_time,Average,non-minority,Male,YES
36,Travel_Rarely,Research & Development,4,College,Life Sciences,Medium,Intermediate,Laboratory Technician,Single,6,No,Average,High,No,16,Medium,13,11,contract,Average,non-minority,Male,YES
58,Travel_Rarely,Sales,21,Bachelor,Life Sciences,High,Experienced,Manager,Married,4,Yes,Low,High,Yes,29,Medium,1,0,full_time,High,minority,Female,NO
37,Travel_Rarely,Research & Development,11,College,Medical,Low,Intermediate,Healthcare Representative,Married,5,No,Low,Low,No,15,Medium,1,0,contract,High,minority,Female,NO
41,Travel_Rarely,Research & Development,14,Bachelor,Life Sciences,High,Entry Level,Research Scientist,Divorced,4,No,High,Low,Yes,13,Medium,9,8,full_time,Average,non-minority,Male,YES
45,Travel_Rarely,Research & Development,9,Bachelor,Medical,Medium,Entry Level,Laboratory Technician,Single,4,No,Low,Low,No,10,High,5,4,full_time,High,minority,Female,NO
45,Travel_Rarely,Sales,12,Bachelor,Life Sciences,Medium,Entry Level,Sales Representative,Single,4,No,Low,Outstanding,No,10,High,1,4,full_time,Average,minority,Female,NO
41,Travel_Rarely,Sales,6,Bachelor,Marketing,High,Experienced,Sales Executive,Single,1,No,High,Average,No,10,High,10,8,full_time,Average,non-minority,Male,YES
31,Travel_Frequently,Sales,7,Master,Marketing,High,Experienced,Sales Executive,Married,2,No,Low,Outstanding,No,9,High,0.6,2,contract,High,minority,Female,NO
33,Travel_Rarely,Sales,1,Bachelor,Marketing,High,Experienced,Sales Executive,Single,1,No,High,Low,No,13,High,13,8,full_time,High,non-minority,Female,YES
58,Travel_Rarely,Research & Development,7,Master,Medical,Medium,Experienced,Manufacturing Director,Married,7,Yes,Low,Outstanding,No,31,Low,10,9,full_time,Average,non-minority,Female,NO
38,Non-Travel,Sales,3,College,Life Sciences,Medium,Intermediate,Sales Executive,Married,2,No,High,High,Yes,12,Low,7,6,full_time,High,non-minority,Male,YES
23,Travel_Rarely,Research & Development,10,Below College,Medical,Very High,Entry Level,Research Scientist,Single,1,No,Low,Outstanding,No,2,High,2,2,full_time,High,minority,Female,NO
29,Travel_Frequently,Research & Development,2,Below College,Life Sciences,High,Intermediate,Healthcare Representative,Divorced,1,No,Outstanding,Outstanding,Yes,6,Low,6,4,full_time,High,non-minority,Female,NO
48,Travel_Rarely,Research & Development,1,College,Life Sciences,Medium,Experienced,Laboratory Technician,Single,4,Yes,Low,Outstanding,Yes,5,Medium,1,2,full_time,Average,minority,Female,NO
49,Travel_Rarely,Research & Development,1,Bachelor,Life Sciences,High,Experienced,Manager,Single,4,No,High,Low,No,23,Medium,8,7,full_time,Average,minority,Male,YES
43,Travel_Rarely,Research & Development,3,Bachelor,Life Sciences,Low,Experienced,Research Director,Married,3,No,Outstanding,Average,Yes,25,Medium,8,7,full_time,Average,non-minority,Male,YES
51,Travel_Rarely,Sales,2,Bachelor,Marketing,Medium,Intermediate,Sales Executive,Divorced,2,No,Average,Low,Yes,29,Medium,14,7,full_time,Average,non-minority,Male,YES
48,Travel_Frequently,Research & Development,22,Bachelor,Medical,High,Experienced,Manager,Divorced,5,No,Low,Average,Yes,4,High,0.3,2,contract,Low,minority,Female,NO
34,Travel_Rarely,Research & Development,29,Bachelor,Medical,High,Intermediate,Laboratory Technician,Married,4,No,High,Low,No,10,Low,8,7,full_time,Average,non-minority,Male,YES
48,Travel_Rarely,Research & Development,4,Master,Life Sciences,Medium,Experienced,Healthcare Representative,Single,7,No,High,Average,No,27,High,15,11,full_time,Average,minority,Male,YES
39,Travel_Rarely,Research & Development,4,Bachelor,Medical,High,Entry Level,Laboratory Technician,Single,3,Yes,Low,High,No,18,Medium,16,12,full_time,Average,non-minority,Male,YES
45,Travel_Rarely,Sales,15,College,Medical,Medium,Intermediate,Sales Executive,Divorced,4,Yes,Low,Outstanding,No,10,High,2,4,full_time,Average,minority,Male,NO
26,Travel_Rarely,Sales,28,College,Marketing,High,Intermediate,Sales Executive,Married,1,No,Average,Outstanding,No,6,Medium,5,3,contract,High,non-minority,Male,YES
45,Travel_Rarely,Research & Development,1,Master,Technical Degree,High,Experienced,Healthcare Representative,Divorced,1,No,Average,Low,Yes,10,High,10,8,full_time,Average,non-minority,Male,YES
33,Travel_Frequently,Human Resources,22,Bachelor,Life Sciences,Medium,Intermediate,Human Resources,Married,2,No,Average,Average,No,14,High,11,7,full_time,High,non-minority,Male,YES
35,Travel_Rarely,Research & Development,1,Master,Life Sciences,Low,Entry Level,Research Scientist,Married,1,No,Outstanding,Outstanding,Yes,4,Medium,4,3,full_time,Average,non-minority,Female,NO
28,Non-Travel,Sales,2,College,Life Sciences,High,Intermediate,Sales Executive,Married,1,No,High,Low,Yes,4,High,4,3,full_time,Average,non-minority,Male,YES
30,Travel_Rarely,Sales,12,Bachelor,Technical Degree,High,Intermediate,Sales Executive,Single,0,No,High,Average,No,6,Medium,5,4,full_time,Low,non-minority,Female,NO
33,Travel_Rarely,Research & Development,8,Master,Life Sciences,Very High,Entry Level,Research Scientist,Married,6,No,Low,Average,Yes,14,Low,10,8,full_time,High,minority,Male,YES
31,Travel_Rarely,Human Resources,8,College,Medical,Very High,Entry Level,Human Resources,Single,9,No,Average,Outstanding,No,8,High,3,2,full_time,High,non-minority,Female,NO
28,Travel_Frequently,Sales,5,College,Life Sciences,Low,Intermediate,Sales Executive,Married,2,Yes,Outstanding,High,Yes,2,Medium,7,0,contract,Average,non-minority,Male,NO
46,Travel_Rarely,Sales,1,College,Marketing,High,Experienced,Sales Executive,Divorced,1,No,Low,High,Yes,24,Medium,24,13,full_time,High,minority,Female,NO
27,Travel_Frequently,Sales,8,Below College,Marketing,High,Intermediate,Sales Executive,Married,0,No,Outstanding,Average,Yes,5,High,4,2,full_time,High,non-minority,Male,NO
36,Travel_Rarely,Sales,3,Master,Marketing,High,Intermediate,Sales Executive,Single,3,Yes,Low,Outstanding,No,15,High,5,4,full_time,High,minority,Female,NO
35,Travel_Rarely,Sales,16,Bachelor,Marketing,High,Experienced,Sales Executive,Married,0,No,Average,High,No,12,High,11,9,full_time,Average,minority,Male,YES
40,Travel_Rarely,Research & Development,24,College,Technical Degree,High,Intermediate,Research Scientist,Divorced,1,No,Low,Low,No,9,High,9,8,full_time,High,minority,Male,NO
52,Travel_Frequently,Research & Development,28,College,Medical,Very High,Experienced,Manufacturing Director,Married,2,Yes,Low,Average,Yes,24,High,0.6,3,full_time,Low,minority,Female,NO
32,Travel_Rarely,Research & Development,10,Below College,Life Sciences,Medium,Intermediate,Healthcare Representative,Married,3,Yes,Low,Average,Yes,10,Low,9,7,full_time,Average,minority,Male,YES
53,Travel_Rarely,Research & Development,7,Bachelor,Life Sciences,Very High,Experienced,Research Director,Married,3,No,High,High,No,32,High,5,1,full_time,High,non-minority,Male,YES
29,Non-Travel,Research & Development,5,Below College,Technical Degree,Low,Intermediate,Manufacturing Director,Married,2,No,Low,Low,Yes,2,Medium,10,0,full_time,Average,minority,Male,NO
45,Travel_Rarely,Research & Development,2,Bachelor,Life Sciences,Medium,Entry Level,Research Scientist,Single,1,No,Low,Outstanding,No,1,High,1,0,full_time,Average,minority,Female,NO
32,Travel_Rarely,Research & Development,6,Doctorate,Life Sciences,High,Entry Level,Research Scientist,Single,3,No,High,Low,No,8,Medium,5,4,full_time,High,non-minority,Male,YES
26,Travel_Rarely,Research & Development,25,Bachelor,Life Sciences,High,Entry Level,Laboratory Technician,Single,5,No,Low,High,Yes,4,High,1,2,contract,Average,minority,Male,NO
46,Travel_Rarely,Research & Development,18,Bachelor,Medical,High,Intermediate,Manufacturing Director,Divorced,2,No,High,High,Yes,19,Medium,10,7,full_time,Average,non-minority,Female,YES
26,Travel_Rarely,Research & Development,23,Bachelor,Life Sciences,High,Entry Level,Research Scientist,Divorced,1,No,Low,Average,No,3,High,3,2,full_time,High,minority,Female,NO
36,Travel_Rarely,Sales,10,Master,Technical Degree,Medium,Intermediate,Sales Executive,Married,1,Yes,Average,Low,Yes,10,High,9,8,full_time,Average,non-minority,Male,YES
35,Travel_Frequently,Research & Development,5,College,Life Sciences,Medium,Entry Level,Research Scientist,Single,4,Yes,Low,Low,No,10,High,0,4,full_time,High,minority,Female,NO
53,Travel_Rarely,Sales,2,College,Medical,High,Experienced,Manager,Divorced,6,No,High,High,Yes,22,High,17,13,contract,Average,minority,Male,YES
37,Travel_Rarely,Sales,3,Bachelor,Life Sciences,High,Experienced,Sales Executive,Single,2,No,Outstanding,Low,No,12,High,5,3,full_time,Average,non-minority,Male,YES
33,Travel_Rarely,Sales,10,Master,Marketing,High,Intermediate,Sales Executive,Single,1,No,High,Average,No,10,Medium,10,4,full_time,Average,minority,Male,YES
35,Travel_Rarely,Sales,17,Bachelor,Medical,High,Intermediate,Sales Executive,Married,0,No,Low,High,Yes,6,Medium,4,2,full_time,Average,non-minority,Male,YES
37,Non-Travel,Sales,20,Master,Medical,High,Experienced,Sales Executive,Divorced,0,No,Low,Low,Yes,3,High,9,1,contract,High,minority,Female,NO
36,Travel_Rarely,Research & Development,7,Master,Other,High,Entry Level,Research Scientist,Single,2,No,Outstanding,High,No,8,Medium,6,2,full_time,High,non-minority,Male,YES
31,Travel_Frequently,Sales,1,Master,Life Sciences,Medium,Entry Level,Sales Representative,Single,1,No,Low,Average,No,1,Medium,1,2,full_time,High,minority,Female,NO
